                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.8989,                 1.1815,                 1.7512,                0.75594,                 0.5754,                0.67399,                0.31367,                 1.9368,                 1.4247,                  1.927,                0.00101,                0.00101,                0.00101
                     78,                 1.9097,                 1.2011,                 1.7248,                0.76411,                0.58652,                0.68501,                0.32453,                 1.9134,                 1.3788,                 1.8925,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.8806,                 1.1707,                 1.7164,                0.75894,                0.61264,                 0.6971,                 0.3277,                 1.9158,                 1.2983,                 1.9193,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.9499,                 1.2079,                 1.7899,                0.78604,                0.60691,                0.70006,                0.33107,                 1.9372,                 1.3236,                 1.9002,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.8612,                 1.2015,                 1.7227,                0.75583,                0.59259,                0.68633,                 0.3187,                 1.9291,                 1.3368,                 1.9128,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.9145,                 1.1894,                  1.749,                0.76339,                0.60847,                0.68748,                0.32239,                 1.9348,                 1.3069,                 1.9138,               0.000944,               0.000944,               0.000944
                     83,                 1.9053,                 1.1858,                 1.7364,                0.78262,                0.60729,                 0.7028,                0.32649,                 1.9386,                 1.2778,                 1.9323,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.8421,                 1.1303,                 1.7066,                0.74917,                 0.5726,                0.66433,                0.31388,                 1.9463,                 1.4128,                  1.927,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.8582,                 1.1773,                 1.6945,                0.75131,                0.61806,                0.70395,                0.32742,                 1.8798,                 1.2976,                  1.885,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.8877,                 1.1623,                 1.7325,                0.76988,                0.65079,                0.71194,                0.33231,                 1.9074,                 1.2726,                 1.8881,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.8722,                 1.1778,                 1.7265,                0.80229,                 0.6131,                0.71144,                0.33135,                  1.906,                  1.315,                 1.8975,               0.000878,               0.000878,               0.000878
                     88,                 1.9124,                 1.2087,                 1.7352,                0.75603,                0.60666,                0.68733,                0.32298,                 1.9203,                 1.2911,                 1.9074,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.8746,                 1.1767,                 1.7353,                0.76791,                0.62845,                0.70254,                0.32826,                 1.9405,                 1.2977,                  1.911,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.8568,                 1.1406,                 1.7104,                0.75861,                0.61728,                0.69764,                0.32689,                 1.9554,                 1.2874,                 1.9123,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.8905,                 1.1668,                 1.7114,                0.78077,                0.63021,                0.71967,                0.32888,                 1.9376,                 1.2552,                 1.9154,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.8455,                 1.1802,                 1.7048,                0.76639,                 0.6261,                0.69989,                0.32475,                 1.9373,                 1.3057,                 1.9035,               0.000812,               0.000812,               0.000812
                     93,                 1.8594,                  1.126,                  1.719,                0.76764,                  0.602,                0.67382,                0.31381,                 1.9331,                 1.3438,                 1.9077,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.8436,                 1.1427,                 1.6883,                 0.7839,                 0.5826,                0.67852,                0.31793,                 1.9326,                  1.395,                 1.9091,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.8736,                 1.1641,                 1.6966,                0.78053,                0.62306,                0.70652,                0.33307,                 1.9101,                 1.2688,                  1.908,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.8528,                 1.1476,                 1.6879,                0.78193,                0.62396,                0.70983,                0.32852,                 1.9286,                 1.2963,                 1.9103,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.8685,                 1.1208,                 1.6843,                0.77678,                0.62194,                0.71336,                0.33163,                 1.9363,                 1.2858,                 1.9052,               0.000746,               0.000746,               0.000746
                     98,                 1.8077,                 1.1058,                 1.6848,                0.76417,                0.58907,                0.68544,                0.31266,                 1.9724,                 1.3338,                 1.9366,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.8553,                 1.1329,                 1.7035,                0.78266,                0.58142,                0.67546,                0.31608,                 1.9324,                 1.3676,                 1.9318,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.8533,                 1.1432,                 1.6937,                0.77889,                  0.602,                0.69291,                0.32548,                 1.9014,                 1.3132,                 1.8911,              0.0007064,              0.0007064,              0.0007064
                    101,                  1.847,                 1.1246,                 1.6983,                0.77271,                0.60157,                0.68308,                0.31814,                 1.9432,                 1.3247,                 1.9101,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.8125,                 1.0967,                 1.6743,                0.75725,                0.60964,                0.68995,                 0.3202,                 1.9467,                 1.3564,                 1.9137,                0.00068,                0.00068,                0.00068
                    103,                 1.8292,                 1.1224,                 1.6901,                0.78501,                0.61846,                 0.6957,                 0.3221,                 1.9653,                 1.2979,                 1.9195,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.8249,                 1.1286,                 1.6927,                0.78321,                0.59258,                0.69606,                0.32466,                  1.934,                   1.37,                 1.9098,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.8148,                 1.0996,                 1.6864,                0.77172,                0.60905,                0.70015,                 0.3255,                 1.9345,                 1.2983,                 1.9023,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.8422,                 1.0962,                 1.6833,                0.76111,                0.64256,                 0.7079,                 0.3262,                 1.9398,                  1.288,                  1.894,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.8193,                    1.1,                 1.7018,                0.79035,                0.63139,                0.70918,                0.32559,                 1.9535,                 1.2782,                  1.922,               0.000614,               0.000614,               0.000614
                    108,                 1.8325,                 1.1313,                 1.6752,                0.79186,                0.61964,                0.71231,                0.33143,                 1.9187,                 1.3084,                 1.8854,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.8429,                 1.1171,                 1.7181,                0.77295,                0.63668,                0.70409,                0.32927,                 1.9433,                 1.2972,                 1.9158,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.8096,                 1.0914,                  1.673,                 0.7697,                0.65234,                0.72135,                0.33533,                 1.9461,                  1.249,                 1.9128,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.8352,                 1.1533,                 1.6885,                0.78666,                0.61258,                0.70257,                0.32844,                 1.9178,                 1.3392,                  1.897,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.7749,                 1.0678,                 1.6425,                0.76252,                0.62669,                0.70233,                0.32347,                 1.9738,                  1.256,                 1.9319,               0.000548,               0.000548,               0.000548
                    113,                 1.7884,                 1.0622,                 1.6534,                0.75026,                0.60402,                0.68182,                0.32173,                 1.9472,                 1.3583,                 1.9092,              0.0005348,              0.0005348,              0.0005348
